{0} documents,{0} documenten
Canary Islands general indirect tax,Algemene indirecte belasting van de Canarische Eilanden
Cancel,Annuleren
Cancel Subscription,Abonnement annuleren
Cancel Subscription?,Abonnement annuleren?
Canceled,Geannuleerd
Capabilities,Mogelijkheden
Checking status every few seconds...,Status controleren om de paar seconden...
Choose a plan below to get started with Peppol document transmission,Kies hieronder een plan om aan de slag te gaan met de documentoverdracht via Peppol
Choose the simulated verification outcome for {0} in this playground environment.,Kies het gesimuleerde verificatieresultaat voor {0} in deze testomgeving.
Choose the type of document you want to send,Kies het type document dat je wilt verzenden
City,Stad
City *,Stad *
Color,Kleur
Companies,Bedrijven
Companies are the legal entities you send or receive Peppol documents for.,Bedrijven zijn de juridische entiteiten waarvoor je Peppol-documenten verzendt of ontvangt.
Company,Bedrijf
Company created successfully,Bedrijf succesvol aangemaakt
Company deleted successfully,Bedrijf succesvol verwijderd
Company ID,Bedrijfs-ID
Company ID copied to clipboard,Bedrijfs-ID gekopieerd naar klembord
Company Name,Bedrijfsnaam
Company not found,Bedrijf niet gevonden
Company updated successfully,Bedrijf succesvol bijgewerkt
Company Verification,Bedrijfsverificatie
Company Verification Required,Bedrijfsverificatie vereist
Complete payment setup to activate your subscription.,Voltooi de betaalconfiguratie om je abonnement te activeren.
Complete the form below to create your document.,Vul het onderstaande formulier in om je document te maken.
Configuration,Configuratie
Configure authentication settings,Authenticatieconfiguratie instellen
Connect external services to automate document processing and workflows. Integrations are available on Starter\, Professional\, or Enterprise plans.,Verbind externe diensten om documentverwerking en workflows te automatiseren. Integraties zijn beschikbaar op Starter-\, Professional- of Enterprise-abonnementen.
Context,Context
Continue to Identity Verification,Ga door naar identiteitsverificatie
Continue to the Mandate,Ga verder naar het Mandaat
Copied!,Gekopieerd!
Copy JSON,JSON kopiëren
Copy verification URL,Verificatie-URL kopiëren
Copy XML,XML kopiëren
Country,Land
Country (C1),Land (C1)
Country *,Land *
Create a billing profile,Een facturatieprofiel aanmaken
Create a credit note for refunds\, adjustments\, or corrections to previous invoices.,Maak een creditnota aan voor terugbetalingen\, aanpassingen of correcties op eerdere facturen.
Create a new customer with the details below.,Maak een nieuwe klant aan met de onderstaande gegevens.
Create a new playground to test your Peppol API integrations.,Maak een nieuwe testomgeving aan om je Peppol-API-integraties te testen.
Create a new supplier with the details below.,Maak een nieuwe leverancier aan met de onderstaande details.
Create a self billing credit note for adjustments or corrections in a self billing flow.,Maak een self-billingcreditnota aan voor aanpassingen of correcties in een self-billingproces.
Create a self billing invoice where the buyer issues the invoice on behalf of the seller.,Maak een self-billingfactuur aan waarbij de koper de factuur namens de verkoper uitgeeft.
Create Company,Bedrijf aanmaken
Create Customer,Klant aanmaken
Create Label,Label aanmaken
Create New Company,Nieuw bedrijf aanmaken
Create New Customer,Nieuwe klant aanmaken
Create New Label,Nieuw label aanmaken
Create New Supplier,Nieuwe leverancier aanmaken
Create playground,Testomgeving aanmaken
Create Supplier,Leverancier aanmaken
Create webhooks and automations that react to Peppol events.,Maak webhooks en automatiseringen aan die reageren op Peppol-evenementen.
Created {0},Aangemaakt op {0}
Created At,Aangemaakt op
Credit Note,Creditnota
Custom UBL document,Aangepast UBL-document
Customer created successfully,Klant succesvol aangemaakt
Customer deleted successfully,Klant succesvol verwijderd
Customer updated successfully,Klant succesvol bijgewerkt
Customers,Klanten
Daily Sync,Dagelijkse synchronisatie
Delete,Verwijderen
Delete All,Alles verwijderen
Delete All Documents,Alle documenten verwijderen
Delete Company,Bedrijf verwijderen
Delete document,Document verwijderen
Delete Integration,Integratie verwijderen
Delete Selected Documents,Geselecteerde documenten verwijderen
Deleting...,Verwijderen...
Developer,Ontwikkelaar
Did not complete the identity check?,Heb je de identiteitscontrole niet voltooid?
Direction,Richting
DocType ID,DocType ID
Document deleted successfully,Document succesvol verwijderd
Document Details,Documentgegevens
Document downloaded successfully,Document succesvol gedownload
Document ID,Document-ID
Document ID copied to clipboard,Document-ID gekopieerd naar klembord
Document Label Assigned,Documentlabel toegewezen
Document Label Unassigned,Documentlabel verwijderd
Document labels,Documentlabels
Document marked as read,Document gemarkeerd als gelezen
Document marked as unread,Document gemarkeerd als ongelezen
Document not found,Document niet gevonden
Document Number,Documentnummer
Document preview,Documentvoorbeeld
Document Received,Document ontvangen
Document Type,Documenttype
Document Usage,Gebruik van documenten
Document Validation Issues,Problemen met documentvalidatie
Documents,Documenten
Documents exported successfully,Documenten succesvol geëxporteerd
Documents with the referenced envelope ID.,Documenten met de genoemde envelop-ID.
Download,Downloaden
Download attachment,Bijlage downloaden
Download document package,Documentpakket downloaden
Download invoice (UBL/PDF),Factuur downloaden (UBL/PDF)
Download package,Pakket downloaden
Download XML,XML downloaden
Download ZIP,ZIP downloaden
e.g. 0208:1012081766,bijv. 0208:1012081766
Edit,Bewerken
Edit Billing Profile,Facturatieprofiel bewerken
Edit Company,Bedrijf bewerken
Edit company details for {0},Bedrijfsinformatie bewerken voor {0}
Edit Customer,Klant bewerken
Edit Label,Label bewerken
Edit Supplier,Leverancier bewerken
Email,E-mail
EN 16931 CII Invoice + Credit Note D22B,EN 16931 CII-factuur + creditnota D22B
Enable or disable integration capabilities,Integratiefunctionaliteiten inschakelen of uitschakelen
End Date,Einddatum
Enter the name of the person authorised to represent this company.,Voer de naam in van de persoon die is gemachtigd om dit bedrijf te vertegenwoordigen.
Enterprise,Enterprise
Enterprise Number,Ondernemingsnummer
Envelope ID,Envelop-ID
Event,Gebeurtenis
Exempt from Tax,Vrijgesteld van belasting
Expired,Verlopen
Export,Exporteren
External ID,Externe ID
External link,Externe link
External Service Notification,Melding van externe dienst
Failed,Mislukt
Failed to assign label,Label toewijzen mislukt
Failed to cancel subscription,Abonnement annuleren mislukt
Failed to copy URL. Please try again.,Het kopiëren van de URL is mislukt. Probeer het opnieuw.
Failed to create playground,Testomgeving aanmaken mislukt
Failed to create verification session: {0},Verificatiesessie aanmaken mislukt: {0}
Failed to delete all documents,Alle documenten verwijderen mislukt
Failed to delete company: {0},Bedrijf verwijderen mislukt: {0}
Failed to delete customer,Klant verwijderen mislukt
Failed to delete document,Document verwijderen mislukt
Failed to delete documents,Documenten verwijderen mislukt
Failed to delete integration: {0},Integratie verwijderen mislukt: {0}
Failed to delete supplier,Leverancier verwijderen mislukt
Failed to download document,Document downloaden mislukt
Failed to export documents,Documenten exporteren mislukt
Failed to load billing events,Facturatiegebeurtenissen laden mislukt
Failed to load companies,Bedrijven laden mislukt
Failed to load company,Bedrijf laden mislukt
Failed to load current usage,Huidig gebruik laden mislukt
Failed to load customers,Klanten laden mislukt
Failed to load document,Document laden mislukt
Failed to load documents,Documenten laden mislukt
Failed to load integration,Integratie laden mislukt
Failed to load labels,Labels laden mislukt
Failed to load rule builder options,Opties voor de regelbouwer laden mislukt
Failed to load subscription,Abonnement laden mislukt
Failed to load suppliers,Leveranciers laden mislukt
Failed to load task logs,Taaklogboeken laden mislukt
Failed to load verification data. Please try again.,Verificatiegegevens laden mislukt. Probeer het opnieuw.
Failed to load verification status. Please try again.,Verificatiestatus laden mislukt. Probeer het opnieuw.
Failed to mark documents as read,Documenten als gelezen markeren mislukt
Failed to remove label,Label verwijderen mislukt
Failed to reset integration state: {0},Integratiestatus resetten mislukt: {0}
Failed to save customer,Klant opslaan mislukt
Failed to save supplier,Leverancier opslaan mislukt
Failed to unassign label,Label verwijderen mislukt
Failed to update company. ({0}),Bedrijf bijwerken mislukt. ({0})
Failed to update document read status,Leesstatus van document bijwerken mislukt
Failed to update integration: {0},Integratie bijwerken mislukt: {0}
Fill in the company\, recipient\, and required invoice fields to see a preview.,Vul de velden voor het bedrijf\, de ontvanger en de vereiste factuurgegevens in om een voorbeeld te bekijken.
Fill in the invoice details including buyer information\, line items\, and payment terms.,Vul de factuurgegevens in\, waaronder kopergegevens\, factuurregels en betalingsvoorwaarden.
First name,Voornaam
Flat UBL ZIP,Platte UBL-ZIP
for assistance.,voor hulp.
For growing businesses with higher volumes,Voor groeiende bedrijven met grotere volumes
For small businesses sending every month,Voor kleine bedrijven die elke maand documenten verzenden
Forward,Doorsturen
Forward to,Doorsturen naar
Forward to someone else,Doorsturen naar iemand anders
France CII Invoice + Credit Note CIUS,Franse CII-factuur + creditnota CIUS
France CII Invoice + Credit Note CIUS (Non-Regulated),Franse CII-factuur + creditnota CIUS (niet-gereguleerd)
France CII Invoice + Credit Note Extended,Franse uitgebreide CII-factuur + creditnota
France CII Invoice + Credit Note Extended (Non-Regulated),Franse uitgebreide CII-factuur + creditnota (niet-gereguleerd)
France Factur-X Invoice + Credit Note,Franse Factur-X-factuur + creditnota
France Factur-X Invoice + Credit Note (Non-Regulated),Franse Factur-X-factuur + creditnota (niet-gereguleerd)
France Invoicing CDAR,Franse facturatie-CDAR
France Invoicing CDAR (Non-Regulated),Franse facturatie-CDAR (niet-gereguleerd)
France Peppol BIS Billing UBL Credit Note,Franse Peppol BIS Billing UBL-creditnota
France Peppol BIS Billing UBL Credit Note (Non-Regulated),Franse Peppol BIS Billing UBL-creditnota (niet-gereguleerd)
France Peppol BIS Billing UBL Invoice,Franse Peppol BIS Billing UBL-factuur
France Peppol BIS Billing UBL Invoice (Non-Regulated),Franse Peppol BIS Billing UBL-factuur (niet-gereguleerd)
France UBL Credit Note CIUS,Franse UBL-creditnota CIUS
France UBL Credit Note CIUS (Non-Regulated),Franse UBL-creditnota CIUS (niet-gereguleerd)
France UBL Credit Note Extended,Franse uitgebreide UBL-creditnota
France UBL Credit Note Extended (Non-Regulated),Franse uitgebreide UBL-creditnota (niet-gereguleerd)
France UBL Invoice CIUS,Franse UBL-factuur CIUS
France UBL Invoice CIUS (Non-Regulated),Franse UBL-factuur CIUS (niet-gereguleerd)
France UBL Invoice Extended,Franse uitgebreide UBL-factuur
France UBL Invoice Extended (Non-Regulated),Franse uitgebreide UBL-factuur (niet-gereguleerd)
Free,Gratis
Free export item\, VAT not charged,Belastingvrije uitvoer\, geen btw berekend
French B2C Payment Report,Frans B2C-betalingsrapport
French B2C Sales Report,Frans B2C-verkooprapport
French Invoicing CDAR,Franse facturatie-CDAR
Frequent Sync,Frequente synchronisatie
Generated document preview,Voorbeeld van gegenereerd document
Go to Companies,Naar bedrijven
Harvest,Harvest
Hourly Sync,Synchronisatie om het uur
I accept the,Ik accepteer de
I confirm that I am authorised to act on behalf of {0} on the Peppol network.,Ik bevestig dat ik bevoegd ben om namens {0} te handelen op het Peppol-netwerk.
I\, {0}\, have read the mandate and sign it electronically on behalf of {1}.,Ik\, {0}\, heb het mandaat gelezen en het elektronisch ondertekend namens {1}.
ID,ID
Identity verification completed successfully. You can close this page.,Identiteitsverificatie is succesvol voltooid. Je kunt deze pagina sluiten.
Identity verification may have succeeded\, but we could not activate this company on the Peppol network. Please contact support@recommand.eu for assistance.,Identiteitsverificatie is mogelijk geslaagd\, maar we konden dit bedrijf niet activeren op het Peppol-netwerk. Neem contact op met support@recommand.eu voor hulp.
If you want to test the Recommand API without affecting production data or communicating over the Peppol network\, you can create a playground team by clicking the team switcher in the top left.,Als je de Recommand-API wilt testen zonder productiegegevens te beïnvloeden of via het Peppol-netwerk te communiceren\, kun je via de teamwisselaar linksboven een testteam maken.
Image attachment,Afbeeldingsbijlage
Included Documents,Inbegrepen documenten
incoming,inkomend
Incoming,Inkomend
Incoming document,Inkomend document
Inspect document metadata.,Controleer documentmetadata.
Inspect metadata or the original XML payload.,Metadata of de oorspronkelijke XML-inhoud bekijken.
Inspect metadata or the parsed JSON structure.,Metadata of de verwerkte JSON-structuur bekijken.
Inspect metadata\, parsed JSON structure\, or the original XML payload.,Metadata\, de verwerkte JSON-structuur of de oorspronkelijke XML-inhoud bekijken.
Integration configuration is required. Please configure the integration first.,Integratieconfiguratie is vereist. Configureer de integratie eerst.
Integration deleted successfully,Integratie succesvol verwijderd
Integration does not belong to this company,Integratie behoort niet tot dit bedrijf
Integration not found,Integratie niet gevonden
Integration Setup,Integratie instellen
Integration State,Integratiestatus
Integration state reset successfully,Integratiestatus succesvol gereset
Integration Teardown,Integratie ontkoppelen
Integration updated successfully,Integratie succesvol bijgewerkt
Integrations,Integraties
Invoice,Factuur
Invoice #,Factuurnr.
Invoice Response,Factuurantwoord
JSON,JSON
JSON copied to clipboard,JSON gekopieerd naar klembord
Keep Subscription,Abonnement behouden
Key,Sleutel
Label,Label
Label added to {0} documents,Label toegevoegd aan {0} documenten
Label created successfully,Label succesvol aangemaakt
Label deleted successfully,Label succesvol verwijderd
Label ID copied to clipboard,Label-ID gekopieerd naar klembord
Label not found,Label niet gevonden
Label updated successfully,Label succesvol bijgewerkt
Labels,Labels
Last name,Achternaam
Limited document details,Beperkte documentgegevens
Loading company details...,Bedrijfsgegevens laden...
Loading document details...,Documentgegevens laden...
Loading integration details...,Integratiegegevens laden...
Loading preview...,Voorbeeld laden...
Loading verification status...,Verificatiestatus laden...
Loading verification...,Verificatie laden...
Loading...,Laden...
Main Street 123,Hoofdstraat 123
Make changes to the company information below,Breng hieronder wijzigingen aan in de bedrijfsgegevens
Make configuration changes to the integration,De configuratie van de integratie wijzigen
Manage labels for organizing and categorizing your data.,Beheer labels voor het organiseren en categoriseren van je gegevens.
Manage your companies\, send and receive Peppol documents\, and monitor your subscription all in one place.,Beheer je bedrijven\, verzend en ontvang Peppol-documenten en controleer je abonnement op één plek.
Manage your subscription plan and billing information,Je abonnement en facturatiegegevens beheren
Mandate for electronic invoicing,Mandaat voor elektronische facturatie
Mandate Status: Not yet validated,Mandaatstatus: nog niet gevalideerd
Mandate Status: Validated,Mandaatstatus: gevalideerd
Manual review in progress,Handmatige beoordeling in uitvoering
Mark as read,Markeer als gelezen
Mark as unread,Markeer als ongelezen
Message,Bericht
Message Level Response,Antwoord op berichtniveau
Metadata,Metadata
Monthly Price,Maandprijs
N/A,N.v.t.
Name,Naam
Name *,Naam *
Name is required,Naam is verplicht
Nested ZIP,Geneste ZIP
No Active Subscription,Geen actief abonnement
No active team selected,Geen actief team geselecteerd
No attachments found on this document.,Geen bijlagen gevonden op dit document.
No available labels,Geen beschikbare labels
No billing events found,Geen facturatiegebeurtenissen gevonden
No billing profile set up yet.,Nog geen facturatieprofiel ingesteld.
No embedded content or external reference available for this attachment.,Geen ingebouwde inhoud of externe referentie beschikbaar voor deze bijlage.
No labels available,Geen beschikbare labels
No Peppol addresses added. Click "Add Address" to add one.,Geen Peppol-adressen toegevoegd. Klik op "Adres toevoegen" om er een toe te voegen.
No Peppol IDs added yet.,Nog geen Peppol-ID's toegevoegd.
No preview available for this document.,Geen voorbeeld beschikbaar voor dit document.
No registered representatives could be found for this company in the CBE registry. You can still proceed with identity verification but your request will be manually reviewed.,Er konden geen geregistreerde vertegenwoordigers worden gevonden voor dit bedrijf in het CBE-register. Je kunt nog steeds doorgaan met identiteitsverificatie\, maar je verzoek zal handmatig worden beoordeeld.
No state data available,Geen statusgegevens beschikbaar
No task logs available,Geen takenlogboeken beschikbaar
None,Geen
Not found,Niet gevonden
Not Found,Niet gevonden
Not set,Niet ingesteld
Not the right person to complete this?,Niet de juiste persoon om dit af te maken?
of Recommand on behalf of {0}.,van Recommand namens {0}.
Open,Open
Open external reference,Externe referentie openen
Open link,Link openen
Optional external identifier,Optionele externe identificator
Optional VAT number,Optioneel btw-nummer
outgoing,uitgaand
Outgoing,Uitgaand
Outgoing document,Uitgaand document
Overage Rate,Tarief voor meerverbruik
Overview of all invoices and billing events,Overzicht van alle facturen en facturatiegebeurtenissen
Paid,Betaald
Payment Mandate,Betaalmandaat
Payment Status,Betaalstatus
Payment Status: {0},Betaalstatus: {0}
PDF attachment,PDF-bijlage
PDF\, drawn up for {0},PDF\, opgesteld voor {0}
Pending,In afwachting
Peppol Addresses,Peppol-adressen
Peppol Conversation ID,Peppol-gespreks-ID
Peppol IDs,Peppol-ID's
Peppol Message ID,Peppol-bericht-ID
per document,per document
per month,per maand
Period,Periode
Phone,Telefoon
Pick a plan,Kies een plan
Playground created successfully,Testomgeving succesvol aangemaakt
Playground Environment,Testomgeving
Playground name,Naam van de testomgeving
Please enter a name for the playground,Voer een naam voor de testomgeving in
Please wait while we validate your payment mandate.,Wacht terwijl we je betaalmandaat valideren.
Postal Code *,Postcode *
Preparing signature...,Handtekening voorbereiden...
Preview and metadata for this transmitted Peppol document.,Voorbeeld en metadata voor dit verzonden Peppol-document.
Price per Document,Prijs per document
Pricing Model,Prijsmodel
Process ID,Proces-ID
Production Environment,Productieomgeving
Professional 1000,Professional 1000
Professional 2500,Professional 2500
Professional 5000,Professional 5000
Raw XML,Onbewerkte XML
Read,Gelezen
Read {0},Gelezen op {0}
Read At,Gelezen op
Read Status,Leesstatus
Read the mandate you are about to sign on behalf of {0}. It authorises us to send\, receive and register electronic invoices for the company.,Lees het mandaat dat je op het punt staat te ondertekenen namens {0}. Het machtigt ons om elektronische facturen voor het bedrijf te verzenden\, te ontvangen en te registreren.
Receive real-time notifications for incoming documents,Ontvang realtime meldingen voor inkomende documenten
Received Peppol Signal Message,Peppol-signaalbericht ontvangen
Receiver,Ontvanger
Receiver ID,Ontvanger-ID
Recent integration task execution logs,Logs van recente uitvoering van integratietaken
Recommand Logo,Recommand-logo
Refund or adjustment document,Terugbetalings- of aanpassingsdocument
Reject,Afwijzen
Rejecting...,Afwijzen...
Related documents,Gerelateerde documenten
Remove,Verwijderen
Preview of the billing document and any attachments.,Voorbeeld van het facturatiedocument en eventuele bijlagen.
Representative Details,Gegevens van vertegenwoordiger
Request failed,Verzoek mislukt
Reset Integration State,Integratiestatus resetten
Reset State,Status resetten
Restart identity verification,Identiteitsverificatie opnieuw starten
Restart Identity Verification,Identiteitsverificatie opnieuw starten
Restarting...,Opnieuw starten...
Return to Subscription,Terugkeren naar abonnement
Save Changes,Wijzigingen opslaan
Scheduled,Gepland
Scheduled subscription change,Geplande abonnementswijziging
Search customers...,Zoek klanten...
Search documents...,Documenten zoeken...
Search suppliers...,Zoek leveranciers...
Select all rows,Selecteer alle rijen
Select country,Selecteer land
Select document type,Selecteer documenttype
Select row,Rij selecteren
Select your name from the list of registered representatives.,Selecteer je naam uit de lijst van geregistreerde vertegenwoordigers.
Self billing credit note,Self-billingcreditnota
Self Billing Credit Note,Self-billingcreditnota
Self billing invoice,Self-billingfactuur
Self Billing Invoice,Self-billingfactuur
Send document,Document verzenden
Send invoices and credit notes through the Peppol network.,Verzend facturen en creditnota's via het Peppol-netwerk.
Sender,Afzender
Sender ID,Afzender-ID
Sent and received,Verzonden en ontvangen
Sent and received documents,Verzonden en ontvangen documenten
Services outside scope of tax,Diensten buiten het toepassingsgebied van de belasting
Set Up Billing Profile,Facturatieprofiel instellen
Set Up Payment Method,Betaalmethode instellen
Set up your billing profile to manage subscriptions.,Stel je facturatieprofiel in om abonnementen te beheren.
Set up your first company,Stel je eerste bedrijf in
SI-UBL 2.0 Credit Note,SI-UBL 2.0-creditnota
SI-UBL 2.0 Invoice,SI-UBL 2.0-factuur
Sign the mandate,Onderteken het mandaat
Sign the mandate that lets us act for {0} on the Peppol network\, then confirm your identity.,Onderteken het mandaat dat ons in staat stelt te handelen voor {0} op het Peppol-netwerk\, bevestig vervolgens je identiteit.
Sign with identity verification,Ondertekenen met identiteitsverificatie
Signed by {0}\, for {1},Getekend door {0}\, voor {1}
Simulate Verification Result,Verificatieresultaat simuleren
Standard billing document,Standaard factuurdocument
Standard rate,Standaardtarief
Start Date,Startdatum
Starter,Starter
Status,Status
Status unavailable,Status niet beschikbaar
Streamline your document processing workflow,Vereenvoudig je workflow voor het verwerken van documenten
Subscription,Abonnement
Subscription cancelled successfully,Abonnement succesvol geannuleerd
Success,Succes
Supplier created successfully,Leverancier succesvol aangemaakt
Supplier deleted successfully,Leverancier succesvol verwijderd
Supplier updated successfully,Leverancier succesvol bijgewerkt
Suppliers,Leveranciers
Supporting data,Ondersteunende gegevens
Switch to a production team to manage your subscription.,Schakel over naar een productieteam om je abonnement te beheren.
Task,Taak
Task Logs,Taaklogboeken
Task Retry,Taak opnieuw proberen
Tax for production\, services and importation in Ceuta and Melilla,Belasting op productie\, diensten en invoer in Ceuta en Melilla
Team Settings,Teaminstellingen
Technical details & raw data,Technische details en ruwe gegevens
terms and conditions,algemene voorwaarden
The identity verification for {0} was not successful.,De identiteitsverificatie voor {0} was niet succesvol.
The integration will be notified every day to synchronize documents or perform other tasks.,De integratie krijgt elke dag een melding om documenten te synchroniseren of andere taken uit te voeren.
The integration will be notified every few hours to synchronize documents or perform other tasks.,De integratie krijgt om de paar uur een melding om documenten te synchroniseren of andere taken uit te voeren.
The integration will be notified every few minutes to synchronize documents or perform other tasks.,De integratie krijgt om de paar minuten een melding om documenten te synchroniseren of andere taken uit te voeren.
The request was forwarded successfully. You can close this page.,De aanvraag is met succes doorgestuurd. Je kunt deze pagina sluiten.
This attachment type cannot be previewed inline\, but you can download it.,Dit type bijlage kan niet rechtstreeks worden bekeken\, maar je kunt het downloaden.
This company needs to be verified before it can be used.,Dit bedrijf moet worden geverifieerd voordat het kan worden gebruikt.
This company needs to be verified. Without verification\, it will soon be deactivated.,Dit bedrijf moet worden geverifieerd. Zonder verificatie wordt het binnenkort gedeactiveerd.
This document could not be fully parsed. Only technical metadata and raw XML are available.,Dit document kon niet volledig worden geanalyseerd. Alleen technische metadata en ruwe XML zijn beschikbaar.
This document could not be fully parsed. Only technical metadata is available.,Dit document kon niet volledig worden geanalyseerd. Alleen technische metadata is beschikbaar.
This document has validation errors that need attention.,Dit document heeft validatiefouten die aandacht nodig hebben.
This is a Peppol Test Network playground environment,Dit is een testomgeving op het Peppol-testnetwerk
This is a playground environment,Dit is een testomgeving
This is a playground environment. Playground usage is entirely free of charge.,Dit is een testomgeving. Het gebruik ervan is volledig gratis.
This is a playground team\, so identity verification is simulated. Choose whether the verification for {0} should be accepted or rejected.,Dit is een testteam\, dus de identiteitsverificatie wordt gesimuleerd. Kies of de verificatie voor {0} moet worden geaccepteerd of afgewezen.
This is a playground team. You can use it to test the Recommand API without affecting production data or communicating over the Peppol network.,Dit is een testteam. Je kunt het gebruiken om de Recommand-API te testen zonder productiegegevens te beïnvloeden of via het Peppol-netwerk te communiceren.
This is a production team. You can use it to send and receive Peppol documents.,Dit is een productieteam. Je kunt het gebruiken om Peppol-documenten te verzenden en te ontvangen.
This may take some time. You can safely close this page and check back later.,Dit kan enige tijd duren. Je kunt deze pagina veilig sluiten en later terugkomen.
This playground is connected to the Peppol test network.,Deze testomgeving is verbonden met het Peppol-testnetwerk.
This playground is not connected to the Peppol test network.,Deze testomgeving is niet verbonden met het Peppol-testnetwerk.
This verification for {0} has already reached a final state.,Deze verificatie voor {0} heeft al een definitieve status bereikt.
Total,Totaal
Total Excl. VAT,Totaal excl. btw
Total Incl. VAT,Totaal incl. btw
Transferred (VAT)\, In Italy,Overgedragen btw in Italië
Try out Peppol\, no credit card needed,Probeer Peppol zonder creditcard
Type,Type
Unknown,Onbekend
Unlimited usage - pay per document transmitted (€{0} each),Onbeperkt gebruik – betaal per verzonden document (€{0} per stuk)
Unnamed attachment,Naamloze bijlage
Unread,Ongelezen
Update Payment Method,Betalingsmethode bijwerken
Update the customer details below.,Werk de onderstaande klantgegevens bij.
Update the supplier details below.,Werk de onderstaande leveranciersgegevens bij.
Update your billing information,Werk je facturatiegegevens voor facturen bij
Upload or paste a raw UBL XML document that complies with Peppol standards.,Upload of plak een onbewerkt UBL XML-document dat aan de Peppol-standaarden voldoet.
Use Peppol Test Network,Gebruik het Peppol-testnetwerk
Validating Your Payment,Je betaling valideren
Validation,Validatie
Value,Waarde
VAT,Btw
