(Required),(Erforderlich)
Accept,Annehmen
Accepting...,Wird angenommen...
Active,Aktiv
Active subscription with full access,Aktives Abonnement mit vollem Zugriff
Add,Hinzufügen
Add Address,Adresse hinzufügen
Add all companies for which you want to send or receive Peppol documents.,Fügen Sie alle Unternehmen hinzu\, für die Sie Peppol-Dokumente senden oder empfangen möchten.
Add an email address to receive notifications,Fügen Sie eine E-Mail-Adresse hinzu\, um Benachrichtigungen zu erhalten
Add an integration to get started,Fügen Sie zunächst eine Integration hinzu
Add Document Type,Dokumenttyp hinzufügen
Add Email,E-Mail hinzufügen
Add Identifier,Kennung hinzufügen
Add Integration,Integration hinzufügen
Add Invoice Reference,Rechnungsreferenz hinzufügen
Add label,Label hinzufügen
Add Line,Position hinzufügen
Add Payment Method,Zahlungsmethode hinzufügen
Add playground,Testumgebung hinzufügen
Add Recipient,Empfänger hinzufügen
Add your first document type to get started,Fügen Sie zunächst Ihren ersten Dokumenttyp hinzu
Add your first identifier to get started,Fügen Sie zunächst Ihre erste Kennung hinzu
Additional Notes,Zusätzliche Hinweise
Address,Adresse
Address *,Adresse *
Advanced,Erweitert
All companies,Alle Unternehmen
All documents deleted successfully,Alle Dokumente erfolgreich gelöscht
Always (in addition to Peppol),Immer (zusätzlich zu Peppol)
Amount (excl. VAT),Betrag (ohne USt.)
An identifier assigned by the buyer for internal routing purposes.,Eine vom Käufer für interne Weiterleitungszwecke vergebene Kennung.
An notification has been received from the external service. If enabled\, the integration will be notified and can process the notification.,Eine Benachrichtigung wurde vom externen Dienst empfangen. Wenn diese Option aktiviert ist\, wird die Integration benachrichtigt und kann die Benachrichtigung verarbeiten.
An unexpected error occurred,Ein unerwarteter Fehler ist aufgetreten
An unexpected error occurred. Please try again.,Ein unerwarteter Fehler ist aufgetreten. Bitte versuchen Sie es erneut.
API Preview,API-Vorschau
Are you sure you want to delete {0} selected documents? This action cannot be undone.,Möchten Sie wirklich {0} ausgewählte Dokumente löschen? Diese Aktion kann nicht rückgängig gemacht werden.
Are you sure you want to delete all documents? This action cannot be undone. All documents in this playground will be permanently removed.,Möchten Sie wirklich alle Dokumente löschen? Diese Aktion kann nicht rückgängig gemacht werden. Alle Dokumente in dieser Testumgebung werden dauerhaft entfernt.
Are you sure you want to delete customer "{0}"?,Möchten Sie den Kunden „{0}“ wirklich löschen?
Are you sure you want to delete this company? This action cannot be undone.,Möchten Sie dieses Unternehmen wirklich löschen? Diese Aktion kann nicht rückgängig gemacht werden.
Are you sure you want to delete this document?,Möchten Sie dieses Dokument wirklich löschen?
Are you sure you want to delete this integration? This action cannot be undone.,Möchten Sie diese Integration wirklich löschen? Diese Aktion kann nicht rückgängig gemacht werden.
Are you sure you want to delete this supplier? This action cannot be undone.,Möchten Sie diesen Lieferanten wirklich löschen? Diese Aktion kann nicht rückgängig gemacht werden.
Are you sure you want to reset the integration state? This will clear all stored state data.,Möchten Sie den Integrationsstatus wirklich zurücksetzen? Dadurch werden alle gespeicherten Statusdaten gelöscht.
Assign label,Label zuweisen
Assign labels,Labels zuweisen
Assign Labels,Labels zuweisen
At least one direction (incoming or outgoing) must be selected,Mindestens eine Richtung (eingehend oder ausgehend) muss ausgewählt werden
At least one direction must be selected,Mindestens eine Richtung muss ausgewählt werden
Attachment,Anhang
Attachment {0},Anhang {0}
Attachments,Anhänge
Authentication,Authentifizierung
Authorized,Autorisiert
Automatically send invoices made in Harvest to your customers via Peppol.,Senden Sie in Harvest erstellte Rechnungen automatisch über Peppol an Ihre Kunden.
Automatically sync documents with your accounting software,Dokumente automatisch mit Ihrer Buchhaltungssoftware synchronisieren
Available integrations:,Verfügbare Integrationen:
Available Plans,Verfügbare Tarife
Awaiting verification result,Warten auf das Verifizierungsergebnis
Back,Zurück
Back to Companies,Zurück zu den Unternehmen
Back to documents,Zurück zu den Dokumenten
Back to your details,Zurück zu Ihren Angaben
Billing,Abrechnung
Billing Date,Abrechnungsdatum
Billing Email,Abrechnungs-E-Mail
Billing Email (Optional),E-Mail-Adresse für die Abrechnung (optional)
Billing History,Abrechnungsverlauf
Billing Peppol Address,Peppol-Abrechnungsadresse
Billing Peppol Address (Optional),Peppol-Adresse für die Abrechnung (optional)
Billing Profile,Abrechnungsprofil
Blue,Blau
Brussels,Brüssel
Buyer details,Käuferdetails
Buyer Information (Auto-populated),Käuferinformationen (automatisch ausgefüllt)
Buyer Information *,Käuferinformationen *
Buyer Reference,Käuferreferenz
Canary Islands general indirect tax,Allgemeine indirekte Steuer der Kanarischen Inseln
Cancel,Abbrechen
Cancel Edit,Bearbeitung abbrechen
Cancel Subscription,Abonnement kündigen
Cancel Subscription?,Abonnement kündigen?
Canceled,Gekündigt
Capabilities,Funktionen
Checking status every few seconds...,Der Status wird alle paar Sekunden geprüft...
Choose a plan below to get started with Peppol document transmission,Wählen Sie unten einen Tarif aus\, um mit der Übertragung von Peppol-Dokumenten zu beginnen
Choose file,Datei auswählen
Choose the perfect plan for your needs,Wählen Sie den passenden Tarif für Ihre Anforderungen
Choose the simulated verification outcome for {0} in this playground environment.,Wählen Sie das simulierte Verifizierungsergebnis für {0} in dieser Testumgebung aus.
Choose the type of document you want to send,Wählen Sie den Dokumenttyp aus\, den Sie senden möchten
City,Stadt
City *,Stadt *
Clear,Leeren
Color,Farbe
Common schemes: 0208 (Belgium)\, 0106 (Netherlands)\, 0225 (France),Gängige Schemata: 0208 (Belgien)\, 0106 (Niederlande)\, 0225 (Frankreich)
Companies,Unternehmen
Companies are the legal entities you send or receive Peppol documents for.,Unternehmen sind die juristischen Personen\, für die Sie Peppol-Dokumente senden oder empfangen.
Companies in {0} are functional\, but some country-specific features or requirements may not be covered yet.,Unternehmen in {0} sind funktionsfähig\, einige landesspezifische Funktionen oder Anforderungen werden jedoch möglicherweise noch nicht abgedeckt.
Company,Unternehmen
Company (Optional),Unternehmen (optional)
Company created successfully,Unternehmen erfolgreich erstellt
Company deleted successfully,Unternehmen erfolgreich gelöscht
Company Document Types,Dokumenttypen des Unternehmens
Company ID,Unternehmens-ID
Company ID copied to clipboard,Unternehmens-ID in die Zwischenablage kopiert
Company Identifiers,Unternehmenskennungen
Company information,Unternehmensinformationen
Company is not verified,Unternehmen ist nicht verifiziert
Company is verified,Unternehmen ist verifiziert
Company Name,Unternehmensname
Company not found,Unternehmen nicht gefunden
Company updated successfully,Unternehmen erfolgreich aktualisiert
Company Verification,Unternehmensverifizierung
Company Verification Required,Unternehmensverifizierung erforderlich
Complete payment setup to activate your subscription.,Schließen Sie die Einrichtung der Zahlungsmethode ab\, um Ihr Abonnement zu aktivieren.
Complete the form below to create your document.,Füllen Sie das folgende Formular aus\, um Ihr Dokument zu erstellen.
Configuration,Konfiguration
Configure authentication settings,Authentifizierungseinstellungen konfigurieren
Configure email addresses to receive notifications when documents are sent or received.,Konfigurieren Sie E-Mail-Adressen\, um Benachrichtigungen zu erhalten\, wenn Dokumente gesendet oder empfangen werden.
Connect external services to automate document processing and workflows.,Verbinden Sie externe Dienste\, um die Dokumentverarbeitung und Arbeitsabläufe zu automatisieren.
Connect external services to automate document processing and workflows. Integrations are available on Starter\, Professional\, or Enterprise plans.,Verbinden Sie externe Dienste\, um die Dokumentverarbeitung und Arbeitsabläufe zu automatisieren. Integrationen sind in den Tarifen Starter\, Professional und Enterprise verfügbar.
Context,Kontext
Continue,Weiter
Continue to Identity Verification,Weiter zur Identitätsprüfung
Continue to the Mandate,Weiter zum Mandat
Copied!,Kopiert!
Copy JSON,JSON kopieren
Copy verification URL,Verifizierungs-URL kopieren
Copy XML,XML kopieren
Country,Land
Country (C1),Land (C1)
Country *,Land *
Country & VAT,Land und USt.
Create,Erstellen
Create a billing profile,Abrechnungsprofil erstellen
Create a credit note for refunds\, adjustments\, or corrections to previous invoices.,Erstellen Sie eine Gutschrift für Erstattungen\, Anpassungen oder Korrekturen früherer Rechnungen.
Create a new customer with the details below.,Erstellen Sie einen neuen Kunden mit den unten stehenden Angaben.
Create a new playground to test your Peppol API integrations.,Erstellen Sie eine neue Testumgebung\, um Ihre Peppol-API-Integrationen zu testen.
Create a new supplier with the details below.,Erstellen Sie einen neuen Lieferanten mit den unten stehenden Angaben.
Create a playground to test integrations without billing requirements\, or switch to an existing team.,Erstellen Sie eine Testumgebung\, um Integrationen ohne Abrechnungsanforderungen zu testen\, oder wechseln Sie zu einem bestehenden Team.
Create a self billing credit note for adjustments or corrections in a self billing flow.,Erstellen Sie eine Self-Billing-Gutschrift für Anpassungen oder Korrekturen in einem Self-Billing-Ablauf.
Create a self billing invoice where the buyer issues the invoice on behalf of the seller.,Erstellen Sie eine Self-Billing-Rechnung\, bei der der Käufer die Rechnung im Namen des Verkäufers ausstellt.
Create Company,Unternehmen erstellen
Create Customer,Kunden erstellen
Create Label,Label erstellen
Create New Company,Neues Unternehmen erstellen
Create New Customer,Neuen Kunden erstellen
Create New Label,Neues Label erstellen
Create new playground,Neue Testumgebung erstellen
Create New Supplier,Neuen Lieferanten erstellen
Create playground,Testumgebung erstellen
Create Playground,Testumgebung erstellen
Create Supplier,Lieferanten erstellen
Create webhooks and automations that react to Peppol events.,Erstellen Sie Webhooks und Automatisierungen\, die auf Peppol-Ereignisse reagieren.
Created {0},Erstellt am {0}
Created At,Erstellt am
Creating your company...,Ihr Unternehmen wird erstellt...
Creating...,Wird erstellt...
Credit item,Gutschriftsposten
Credit Note,Gutschrift
Credit Note Lines *,Gutschriftpositionen *
Credit Note Number *,Gutschriftnummer *
Credited Invoices,Gutgeschriebene Rechnungen
cURL Command,cURL-Befehl
Current,Aktuell
Current Plan,Aktueller Tarif
Custom Email Content (Optional),Benutzerdefinierter E-Mail-Inhalt (optional)
Custom UBL document,Benutzerdefiniertes UBL-Dokument
Customer,Kunde
Customer created successfully,Kunde erfolgreich erstellt
Customer deleted successfully,Kunde erfolgreich gelöscht
Customer updated successfully,Kunde erfolgreich aktualisiert
Customers,Kunden
Daily Sync,Tägliche Synchronisierung
Date range must not exceed 1 month (31 days),Der Datumsbereich darf 1 Monat (31 Tage) nicht überschreiten
Day,Tag
Default: Dear {buyer name}\, you can find your invoice attached.,Standard: Guten Tag {buyer name}\, Ihre Rechnung finden Sie im Anhang.
Default: Invoice {number} or Credit Note {number},Standard: Rechnung {number} oder Gutschrift {number}
Delete,Löschen
Delete All,Alle löschen
Delete All Documents,Alle Dokumente löschen
Delete Company,Unternehmen löschen
Delete document,Dokument löschen
Delete Integration,Integration löschen
Delete Selected Documents,Ausgewählte Dokumente löschen
Deleting...,Wird gelöscht...
Description,Beschreibung
Developer,Entwickler
Did not complete the identity check?,Identitätsprüfung nicht abgeschlossen?
Direction,Richtung
DocType ID,DocType-ID
Document deleted successfully,Dokument erfolgreich gelöscht
Document Details,Dokumentdetails
Document direction,Dokumentrichtung
Document downloaded successfully,Dokument erfolgreich heruntergeladen
Document ID,Dokument-ID
Document ID copied to clipboard,Dokument-ID in die Zwischenablage kopiert
Document Label Assigned,Dokument-Label zugewiesen
Document Label Unassigned,Dokument-Label entfernt
Document labels,Dokument-Labels
Document marked as read,Dokument als gelesen markiert
Document marked as unread,Dokument als ungelesen markiert
Document not found,Dokument nicht gefunden
Document Number,Dokumentnummer
Document preview,Dokumentvorschau
Document Received,Dokument empfangen
Document sent successfully!,Dokument erfolgreich gesendet!
Document Type,Dokumenttyp
Document type added successfully,Dokumenttyp erfolgreich hinzugefügt
Document type deleted successfully,Dokumenttyp erfolgreich gelöscht
Document Type ID,Dokumenttyp-ID
Document Type ID (optional),Dokumenttyp-ID (optional)
Document Type ID is required,Dokumenttyp-ID ist erforderlich
Document type updated successfully,Dokumenttyp erfolgreich aktualisiert
Document types define what types of documents your company can receive over the Peppol network. This does not limit the types of documents you can send.,Dokumenttypen legen fest\, welche Arten von Dokumenten Ihr Unternehmen über das Peppol-Netzwerk empfangen kann. Dies schränkt die Dokumenttypen\, die Sie senden können\, nicht ein.
Document Usage,Dokumentnutzung
Document Validation Issues,Probleme bei der Dokumentvalidierung
Documents,Dokumente
Documents exported successfully,Dokumente erfolgreich exportiert
documents included,Dokumente enthalten
Documents per month,Dokumente pro Monat
Documents with the referenced envelope ID.,Dokumente mit der referenzierten Umschlag-ID.
Done,Fertig
Download,Herunterladen
Download attachment,Anhang herunterladen
Download document package,Dokumentpaket herunterladen
Download invoice (UBL/PDF),Rechnung herunterladen (UBL/PDF)
Download package,Paket herunterladen
Download XML,XML herunterladen
Download ZIP,ZIP herunterladen
Drag & drop an XML file,XML-Datei hierher ziehen
Due Date,Fälligkeitsdatum
E.g. 0208:[Belgian Enterprise Number],Z. B. 0208:[belgische Unternehmensnummer]
e.g. 0208:1012081766,z. B. 0208:1012081766
e.g.\, 0208 (Belgium),z. B. 0208 (Belgien)
e.g.\, 1012081766,z. B. 1012081766
e.g.\, urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,z. B. urn:fdc:peppol.eu:2017:poacc:billing:01:1.0
e.g.\, urn:oasis:names:specification:ubl:schema:xsd:Invoice-2::Invoice##urn:cen.eu:en16931:2017#compliant#urn:fdc:peppol.eu:2017:poacc:billing:3.0::2.1,z. B. urn:oasis:names:specification:ubl:schema:xsd:Invoice-2::Invoice##urn:cen.eu:en16931:2017#compliant#urn:fdc:peppol.eu:2017:poacc:billing:3.0::2.1
Edit,Bearbeiten
Edit Billing Profile,Abrechnungsprofil bearbeiten
Edit Company,Unternehmen bearbeiten
Edit company details for {0},Unternehmensdaten für {0} bearbeiten
Edit Customer,Kunden bearbeiten
Edit Label,Label bearbeiten
Edit Supplier,Lieferanten bearbeiten
Email,E-Mail
Email (Optional),E-Mail-Adresse (optional)
Email Address,E-Mail-Adresse
Email address to receive invoices. If not set\, invoices will be sent to all team members.,E-Mail-Adresse für den Empfang von Rechnungen. Wenn keine festgelegt ist\, werden Rechnungen an alle Teammitglieder gesendet.
Email Body (HTML),E-Mail-Text (HTML)
Email is required,E-Mail-Adresse ist erforderlich
Email Recipients,E-Mail-Empfänger
Email Subject,E-Mail-Betreff
Email-only delivery is only supported for (self-billing) invoices and credit notes,Die ausschließliche Zustellung per E-Mail wird nur für Self-Billing-Rechnungen und -Gutschriften unterstützt
EN 16931 CII Invoice + Credit Note D22B,EN-16931-CII-Rechnung + Gutschrift D22B
Enable or disable integration capabilities,Integrationsfunktionen aktivieren oder deaktivieren
End Date,Enddatum
End datetime (exclusive) *,Endzeitpunkt (exklusiv) *
End datetime is required,Endzeitpunkt ist erforderlich
End datetime must be after start datetime,Der Endzeitpunkt muss nach dem Startzeitpunkt liegen
Endpoint,Endpunkt
Enter the name of the person authorised to represent this company.,Geben Sie den Namen der Person ein\, die dieses Unternehmen vertreten darf.
Enter the recipient's Peppol ID. Format: [scheme]:[identifier],Geben Sie die Peppol-ID des Empfängers ein. Format: [Schema]:[Kennung]
Enterprise,Enterprise
Enterprise Number,Unternehmensnummer
Enterprise Number (Optional),Unternehmensnummer (optional)
Enterprise number scheme 0106 or 0190 required,Unternehmensnummernschema 0106 oder 0190 erforderlich
Envelope ID,Umschlag-ID
Errors:,Fehler:
Event,Ereignis
Example Company,Beispielunternehmen
Exempt from Tax,Steuerbefreit
Expired,Abgelaufen
Export,Exportieren
Export all sent/received documents within a date range (max 1 month) as a ZIP archive.,Exportieren Sie alle gesendeten/empfangenen Dokumente innerhalb eines Datumsbereichs (max. 1 Monat) als ZIP-Archiv.
Export Documents,Dokumente exportieren
Exporting...,Wird exportiert...
External ID,Externe ID
External ID (Optional),Externe ID (optional)
External link,Externer Link
External Service Notification,Benachrichtigung eines externen Dienstes
Failed,Fehlgeschlagen
Failed to add document type: {0},Dokumenttyp konnte nicht hinzugefügt werden: {0}
Failed to add identifier: {0},Kennung konnte nicht hinzugefügt werden: {0}
Failed to add integration: {0},Integration konnte nicht hinzugefügt werden: {0}
Failed to add notification email address: {0},Benachrichtigungs-E-Mail-Adresse konnte nicht hinzugefügt werden: {0}
Failed to assign label,Label konnte nicht zugewiesen werden
Failed to cancel subscription,Abonnement konnte nicht gekündigt werden
Failed to copy URL. Please try again.,URL konnte nicht kopiert werden. Bitte versuchen Sie es erneut.
Failed to create company,Unternehmen konnte nicht erstellt werden
Failed to create playground,Testumgebung konnte nicht erstellt werden
Failed to create verification session: {0},Verifizierungssitzung konnte nicht erstellt werden: {0}
Failed to delete all documents,Löschen aller Dokumente fehlgeschlagen
Failed to delete company: {0},Unternehmen konnte nicht gelöscht werden: {0}
Failed to delete customer,Kunde konnte nicht gelöscht werden
Failed to delete document,Dokument konnte nicht gelöscht werden
Failed to delete document type: {0},Dokumenttyp konnte nicht gelöscht werden: {0}
Failed to delete documents,Dokumente konnten nicht gelöscht werden
Failed to delete identifier: {0},Kennung konnte nicht gelöscht werden: {0}
Failed to delete integration: {0},Integration konnte nicht gelöscht werden: {0}
Failed to delete notification email address: {0},Benachrichtigungs-E-Mail-Adresse konnte nicht gelöscht werden: {0}
Failed to delete supplier,Lieferant konnte nicht gelöscht werden
Failed to download document,Dokument konnte nicht heruntergeladen werden
Failed to export documents,Dokumente konnten nicht exportiert werden
Failed to export documents. Please try again.,Dokumente konnten nicht exportiert werden. Bitte versuchen Sie es erneut.
Failed to load billing events,Abrechnungsereignisse konnten nicht geladen werden
Failed to load companies,Unternehmen konnten nicht geladen werden
Failed to load company,Unternehmen konnte nicht geladen werden
Failed to load company document types,Dokumenttypen des Unternehmens konnten nicht geladen werden
Failed to load company identifiers: {0},Unternehmenskennungen konnten nicht geladen werden: {0}
Failed to load current usage,Aktuelle Nutzung konnte nicht geladen werden
Failed to load customers,Kunden konnten nicht geladen werden
Failed to load document,Dokument konnte nicht geladen werden
Failed to load documents,Dokumente konnten nicht geladen werden
Failed to load integration,Integration konnte nicht geladen werden
Failed to load integrations: {0},Integrationen konnten nicht geladen werden: {0}
Failed to load labels,Labels konnten nicht geladen werden
Failed to load notification email addresses: {0},Benachrichtigungs-E-Mail-Adressen konnten nicht geladen werden: {0}
Failed to load rule builder options,Optionen für den Regel-Builder konnten nicht geladen werden
Failed to load subscription,Abonnement konnte nicht geladen werden
Failed to load suppliers,Lieferanten konnten nicht geladen werden
Failed to load task logs,Aufgabenprotokolle konnten nicht geladen werden
Failed to load verification data. Please try again.,Verifizierungsdaten konnten nicht geladen werden. Bitte versuchen Sie es erneut.
Failed to load verification status. Please try again.,Verifizierungsstatus konnte nicht geladen werden. Bitte versuchen Sie es erneut.
Failed to mark documents as read,Dokumente konnten nicht als gelesen markiert werden
Failed to read file,Datei konnte nicht gelesen werden
Failed to remove label,Label konnte nicht entfernt werden
Failed to reset integration state: {0},Integrationsstatus konnte nicht zurückgesetzt werden: {0}
Failed to save customer,Kunde konnte nicht gespeichert werden
Failed to save supplier,Lieferant konnte nicht gespeichert werden
Failed to send document,Dokument konnte nicht gesendet werden
Failed to unassign label,Label-Zuweisung konnte nicht aufgehoben werden
Failed to update company. ({0}),Unternehmen konnte nicht aktualisiert werden. ({0})
Failed to update document read status,Lesestatus des Dokuments konnte nicht aktualisiert werden
Failed to update document type: {0},Dokumenttyp konnte nicht aktualisiert werden: {0}
Failed to update identifier: {0},Kennung konnte nicht aktualisiert werden: {0}
Failed to update integration: {0},Integration konnte nicht aktualisiert werden: {0}
Failed to update notification email address: {0},Benachrichtigungs-E-Mail-Adresse konnte nicht aktualisiert werden: {0}
Failed to update subscription,Abonnement konnte nicht aktualisiert werden
False,Falsch
Fill in the company\, recipient\, and required invoice fields to see a preview.,Füllen Sie die Angaben zu Unternehmen und Empfänger sowie die erforderlichen Rechnungsfelder aus\, um eine Vorschau anzuzeigen.
Fill in the invoice details including buyer information\, line items\, and payment terms.,Geben Sie die Rechnungsdaten einschließlich Käuferinformationen\, Positionen und Zahlungsbedingungen ein.
Fill in the required fields to see a preview.,Füllen Sie die erforderlichen Felder aus\, um eine Vorschau anzuzeigen.
First name,Vorname
Flat UBL ZIP,Flaches UBL-ZIP
Flat UBLs (all XMLs in root),Flache UBL-Struktur (alle XML-Dateien im Stammverzeichnis)
for assistance.,um Unterstützung zu erhalten.
For Belgian businesses\, the VAT number will be used to infer the enterprise number.,Bei belgischen Unternehmen wird die Unternehmensnummer aus der Umsatzsteuer-Identifikationsnummer abgeleitet.
For Dutch businesses\, the VAT number format is NL + 9 digits + B + 2 digits (e.g. NL123456789B01).,Bei niederländischen Unternehmen hat die Umsatzsteuer-Identifikationsnummer das Format NL + 9 Ziffern + B + 2 Ziffern (z. B. NL123456789B01).
For Dutch sellers\, the scheme identifier is required to be able to send invoices and credit notes.,Bei niederländischen Verkäufern ist die Schemakennung erforderlich\, um Rechnungen und Gutschriften senden zu können.
For growing businesses with higher volumes,Für wachsende Unternehmen mit höherem Volumen
For small businesses sending every month,Für kleine Unternehmen\, die jeden Monat senden
Forward,Weiterleiten
Forward to,Weiterleiten an
Forward to someone else,An eine andere Person weiterleiten
France CII Invoice + Credit Note CIUS,Französische CII-Rechnung + Gutschrift CIUS
France CII Invoice + Credit Note CIUS (Non-Regulated),Französische CII-Rechnung + Gutschrift CIUS (nicht reguliert)
France CII Invoice + Credit Note Extended,Französische erweiterte CII-Rechnung + Gutschrift
France CII Invoice + Credit Note Extended (Non-Regulated),Französische erweiterte CII-Rechnung + Gutschrift (nicht reguliert)
France Factur-X Invoice + Credit Note,Französische Factur-X-Rechnung + Gutschrift
France Factur-X Invoice + Credit Note (Non-Regulated),Französische Factur-X-Rechnung + Gutschrift (nicht reguliert)
France Invoicing CDAR,Französisches Rechnungs-CDAR
France Invoicing CDAR (Non-Regulated),Französisches Rechnungs-CDAR (nicht reguliert)
France Peppol BIS Billing UBL Credit Note,Französische Peppol-BIS-Billing-UBL-Gutschrift
France Peppol BIS Billing UBL Credit Note (Non-Regulated),Französische Peppol-BIS-Billing-UBL-Gutschrift (nicht reguliert)
France Peppol BIS Billing UBL Invoice,Französische Peppol-BIS-Billing-UBL-Rechnung
France Peppol BIS Billing UBL Invoice (Non-Regulated),Französische Peppol-BIS-Billing-UBL-Rechnung (nicht reguliert)
France UBL Credit Note CIUS,Französische UBL-Gutschrift CIUS
France UBL Credit Note CIUS (Non-Regulated),Französische UBL-Gutschrift CIUS (nicht reguliert)
France UBL Credit Note Extended,Französische erweiterte UBL-Gutschrift
France UBL Credit Note Extended (Non-Regulated),Französische erweiterte UBL-Gutschrift (nicht reguliert)
France UBL Invoice CIUS,Französische UBL-Rechnung CIUS
France UBL Invoice CIUS (Non-Regulated),Französische UBL-Rechnung CIUS (nicht reguliert)
France UBL Invoice Extended,Französische erweiterte UBL-Rechnung
France UBL Invoice Extended (Non-Regulated),Französische erweiterte UBL-Rechnung (nicht reguliert)
Free,Kostenlos
Free export item\, VAT not charged,Steuerfreie Ausfuhr\, keine Umsatzsteuer berechnet
French B2C Payment Report,Französischer B2C-Zahlungsbericht
French B2C Sales Report,Französischer B2C-Umsatzbericht
French Invoicing CDAR,Französische Rechnungs-CDAR
Frequent Sync,Häufige Synchronisierung
Full Peppol participation: send documents and receive them from your network.,Vollständige Peppol-Teilnahme: Senden Sie Dokumente und empfangen Sie sie aus Ihrem Netzwerk.
Generated document preview,Generierte Dokumentvorschau
Generates a PDF of the document and embeds it as an attachment.,Erstellt ein PDF des Dokuments und bettet es als Anhang ein.
Go to Companies,Zu den Unternehmen
Green,Grün
Harvest,Harvest
Hour,Stunde
Hourly Sync,Stündliche Synchronisierung
I accept the,Ich akzeptiere die
I confirm that I am authorised to act on behalf of {0} on the Peppol network.,Ich bestätige\, dass ich berechtigt bin\, im Peppol-Netzwerk im Namen von {0} zu handeln.
I\, {0}\, have read the mandate and sign it electronically on behalf of {1}.,Ich\, {0}\, habe das Mandat gelesen und unterzeichne es elektronisch im Namen von {1}.
IBAN *,IBAN *
ID,ID
Identifier,Kennung
Identifier added successfully,Kennung erfolgreich hinzugefügt
Identifier deleted successfully,Kennung erfolgreich gelöscht
Identifier is required,Kennung ist erforderlich
Identifier updated successfully,Kennung erfolgreich aktualisiert
Identifiers are used to identify your company in the Peppol network.,Kennungen dienen dazu\, Ihr Unternehmen im Peppol-Netzwerk zu identifizieren.
Identity verification completed successfully. You can close this page.,Identitätsprüfung erfolgreich abgeschlossen. Sie können diese Seite schließen.
Identity verification may have succeeded\, but we could not activate this company on the Peppol network. Please contact support@recommand.eu for assistance.,Die Identitätsprüfung war möglicherweise erfolgreich\, aber wir konnten dieses Unternehmen nicht im Peppol-Netzwerk aktivieren. Wenden Sie sich an support@recommand.eu\, um Unterstützung zu erhalten.
If enabled\, the company will be registered as a recipient in our SMP (the Peppol address book). This will allow you to send and receive documents. If disabled\, you will only be able to send documents via Recommand.,Wenn diese Option aktiviert ist\, wird das Unternehmen als Empfänger in unserem SMP (dem Peppol-Adressbuch) registriert. Dadurch können Sie Dokumente senden und empfangen. Wenn die Option deaktiviert ist\, können Sie über Recommand nur Dokumente senden.
If no Peppol recipient is provided\, email will be the primary delivery method regardless of this setting.,Wenn kein Peppol-Empfänger angegeben ist\, erfolgt die Zustellung unabhängig von dieser Einstellung vorrangig per E-Mail.
If you want to test the Recommand API without affecting production data or communicating over the Peppol network\, you can create a playground team by clicking the team switcher in the top left.,Wenn Sie die Recommand API testen möchten\, ohne Produktionsdaten zu beeinflussen oder über das Peppol-Netzwerk zu kommunizieren\, können Sie über den Teamumschalter oben links ein Testteam erstellen.
Image attachment,Bildanhang
Include generated PDF,Erstelltes PDF einschließen
Include incoming documents,Eingehende Dokumente einschließen
Include outgoing documents,Ausgehende Dokumente einschließen
Included Documents,Enthaltene Dokumente
incoming,eingehend
Incoming,Eingehend
Incoming document,Eingehendes Dokument
Incoming documents,Eingehende Dokumente
Incoming invoices,Eingehende Rechnungen
Inspect document metadata.,Dokumentmetadaten prüfen.
