Back to your details,Retour à vos informations
Billing,Facturation
Billing Date,Date de facturation
Billing Email,E-mail de facturation
Billing History,Historique de facturation
Billing Peppol Address,Adresse Peppol de facturation
Billing Profile,Profil de facturation
Brussels,Bruxelles
Cancel,Annuler
Cancel Subscription,Annuler l'abonnement
Cancel Subscription?,Annuler l'abonnement ?
Canceled,Annulé
Capabilities,Fonctionnalités
Checking status every few seconds...,Vérification du statut toutes les quelques secondes...
Choose a plan below to get started with Peppol document transmission,Choisissez un forfait ci-dessous pour commencer à transmettre des documents Peppol
Choose the simulated verification outcome for {0} in this playground environment.,Choisissez le résultat de vérification simulé pour {0} dans cet environnement de test.
Choose the type of document you want to send,Choisissez le type de document que vous souhaitez envoyer
City,Ville
Color,Couleur
Companies,Entreprises
Companies are the legal entities you send or receive Peppol documents for.,Les entreprises sont les entités juridiques pour lesquelles vous envoyez ou recevez des documents Peppol.
Company,Entreprise
Company ID,ID de l'entreprise
Company ID copied to clipboard,ID de l'entreprise copié dans le presse-papiers
Company Name,Nom de l'entreprise
Company Verification,Vérification de l'entreprise
Company Verification Required,Vérification de l'entreprise requise
Company created successfully,Entreprise créée avec succès
Company deleted successfully,Entreprise supprimée avec succès
Company not found,Entreprise introuvable
Company updated successfully,Entreprise mise à jour avec succès
Complete payment setup to activate your subscription.,Terminez la configuration du paiement pour activer votre abonnement.
Complete the form below to create your document.,Remplissez le formulaire ci-dessous pour créer votre document.
Configuration,Configuration
Configure authentication settings,Configurer les paramètres d'authentification
Connect external services to automate document processing and workflows. Integrations are available on Starter\, Professional\, or Enterprise plans.,Connectez des services externes pour automatiser le traitement des documents et les flux de travail. Les intégrations sont disponibles avec les forfaits Starter\, Professional ou Enterprise.
Context,Contexte
Continue to Identity Verification,Continuer vers la vérification d'identité
Continue to the Mandate,Continuer vers le mandat
Copied!,Copié !
Copy JSON,Copier le JSON
Copy XML,Copier le XML
Copy verification URL,Copier l'URL de vérification
Country,Pays
Country (C1),Pays (C1)
Create Company,Créer une entreprise
Create New Company,Créer une entreprise
Create a billing profile,Créer un profil de facturation
Create a credit note for refunds\, adjustments\, or corrections to previous invoices.,Créez un avoir pour les remboursements\, ajustements ou corrections de factures antérieures.
Create a new playground to test your Peppol API integrations.,Créez un environnement de test pour tester vos intégrations à l'API Peppol.
Create a self billing credit note for adjustments or corrections in a self billing flow.,Créez un avoir d'autofacturation pour les ajustements ou corrections d'un flux d'autofacturation.
Create a self billing invoice where the buyer issues the invoice on behalf of the seller.,Créez une facture d'autofacturation dans laquelle l'acheteur émet la facture au nom du vendeur.
Create playground,Créer un environnement de test
Create webhooks and automations that react to Peppol events.,Créez des webhooks et des automatisations qui réagissent aux événements Peppol.
Created At,Créé le
Created {0},Créé le {0}
Credit Note,Avoir
Custom UBL document,Document UBL personnalisé
Customers,Clients
Delete,Supprimer
Delete All,Tout supprimer
Delete All Documents,Supprimer tous les documents
Delete Company,Supprimer l'entreprise
Delete Integration,Supprimer l'intégration
Delete Selected Documents,Supprimer les documents sélectionnés
Delete document,Supprimer le document
Deleting...,Suppression...
Developer,Développeur
Did not complete the identity check?,Vous n'avez pas terminé la vérification d'identité ?
Direction,Sens
DocType ID,Identifiant DocType
Document Details,Détails du document
Document ID,ID document
Document ID copied to clipboard,Identifiant du document copié dans le presse-papiers
Document Number,Numéro du document
Document Type,Type de document
Document Usage,Utilisation des documents
Document Validation Issues,Problèmes de validation du document
Document deleted successfully,Document supprimé avec succès
Document downloaded successfully,Document téléchargé avec succès
Document labels,Libellés du document
Document marked as read,Document marqué comme lu
Document marked as unread,Document marqué comme non lu
Document not found,Document introuvable
Document preview,Aperçu du document
Documents,Documents
Documents exported successfully,Documents exportés avec succès
Documents with the referenced envelope ID.,Documents avec l'identifiant d'enveloppe référencé.
Download,Télécharger
Download XML,Télécharger le XML
Download ZIP,Télécharger le ZIP
Download attachment,Télécharger la pièce jointe
Download document package,Télécharger le paquet du document
Download invoice (UBL/PDF),Télécharger la facture (UBL/PDF)
Download package,Télécharger le paquet
Edit,Modifier
Edit Billing Profile,Modifier le profil de facturation
Edit Company,Modifier l'entreprise
Edit company details for {0},Modifier les informations de l'entreprise {0}
Email,E-mail
Enable or disable integration capabilities,Activer ou désactiver les fonctionnalités de l'intégration
End Date,Date de fin
Enter the name of the person authorised to represent this company.,Saisissez le nom de la personne autorisée à représenter cette entreprise.
Enterprise Number,Numéro d'entreprise
Envelope ID,ID enveloppe
Event,Événement
Expired,Expiré
Export,Exporter
External link,Lien externe
Failed,Échec
Failed to assign label,Échec de l'attribution du libellé
Failed to cancel subscription,Échec de l'annulation de l'abonnement
Failed to copy URL. Please try again.,Échec de la copie de l'URL. Veuillez réessayer.
Failed to create playground,Échec de la création de l'environnement de test
Failed to create verification session: {0},Échec de la création de la session de vérification : {0}
Failed to delete all documents,Échec de la suppression de tous les documents
Failed to delete company: {0},Échec de la suppression de l'entreprise : {0}
Failed to delete document,Échec de la suppression du document
Failed to delete documents,Échec de la suppression des documents
Failed to delete integration: {0},Échec de la suppression de l'intégration : {0}
Failed to download document,Échec du téléchargement du document
Failed to export documents,Échec de l'exportation des documents
Failed to load billing events,Échec du chargement des événements de facturation
Failed to load companies,Échec du chargement des entreprises
Failed to load company,Échec du chargement de l'entreprise
Failed to load current usage,Échec du chargement de l'utilisation actuelle
Failed to load document,Échec du chargement du document
Failed to load documents,Échec du chargement des documents
Failed to load integration,Échec du chargement de l'intégration
Failed to load labels,Échec du chargement des libellés
Failed to load rule builder options,Échec du chargement des options de création de règles
Failed to load subscription,Échec du chargement de l'abonnement
Failed to load task logs,Échec du chargement des journaux de tâches
Failed to load verification data. Please try again.,Échec du chargement des données de vérification. Veuillez réessayer.
Failed to load verification status. Please try again.,Échec du chargement du statut de vérification. Veuillez réessayer.
Failed to mark documents as read,Échec du marquage des documents comme lus
Failed to remove label,Échec de la suppression du libellé
Failed to reset integration state: {0},Échec de la réinitialisation de l'état de l'intégration : {0}
Failed to unassign label,Échec du retrait du libellé
Failed to update company. ({0}),Échec de la mise à jour de l'entreprise. ({0})
Failed to update document read status,Échec de la mise à jour du statut de lecture du document
Failed to update integration: {0},Échec de la mise à jour de l'intégration : {0}
Fill in the company\, recipient\, and required invoice fields to see a preview.,Renseignez l'entreprise\, le destinataire et les champs obligatoires de la facture pour afficher un aperçu.
Fill in the invoice details including buyer information\, line items\, and payment terms.,Renseignez les détails de la facture\, notamment les informations sur l'acheteur\, les lignes de facture et les conditions de paiement.
First name,Prénom
Flat UBL ZIP,ZIP UBL non imbriqué
Forward,Transférer
Forward to,Transférer à
Forward to someone else,Transférer à une autre personne
French B2C Payment Report,Rapport français des paiements B2C
French B2C Sales Report,Rapport français des ventes B2C
French Cross-Border Invoice Report,Rapport français des factures transfrontalières
French Cross-Border Payment Report,Rapport français des paiements transfrontaliers
French Invoicing CDAR,CDAR de facturation française
Generated document preview,Aperçu généré du document
Go to Companies,Aller aux entreprises
I accept the,J'accepte les
I confirm that I am authorised to act on behalf of {0} on the Peppol network.,Je confirme être autorisé à agir au nom de {0} sur le réseau Peppol.
I\, {0}\, have read the mandate and sign it electronically on behalf of {1}.,Je soussigné(e)\, {0}\, ai lu le mandat et le signe électroniquement au nom de {1}.
ID,Identifiant
Identity verification completed successfully. You can close this page.,La vérification d'identité a été effectuée avec succès. Vous pouvez fermer cette page.
Identity verification may have succeeded\, but we could not activate this company on the Peppol network. Please contact support@recommand.eu for assistance.,La vérification d'identité a peut-être réussi\, mais nous n'avons pas pu activer cette entreprise sur le réseau Peppol. Veuillez contacter support@recommand.eu pour obtenir de l'aide.
If you want to test the Recommand API without affecting production data or communicating over the Peppol network\, you can create a playground team by clicking the team switcher in the top left.,Si vous souhaitez tester l'API Recommand sans affecter les données de production ni communiquer sur le réseau Peppol\, vous pouvez créer une équipe de test en cliquant sur le sélecteur d'équipe en haut à gauche.
Image attachment,Pièce jointe image
Included Documents,Documents inclus
Incoming,Entrant
Incoming document,Document entrant
Inspect document metadata.,Consulter les métadonnées du document.
Inspect metadata or the original XML payload.,Consulter les métadonnées ou le contenu XML d'origine.
Inspect metadata or the parsed JSON structure.,Consulter les métadonnées ou la structure JSON analysée.
Inspect metadata\, parsed JSON structure\, or the original XML payload.,Consulter les métadonnées\, la structure JSON analysée ou le contenu XML d'origine.
Integration State,État de l'intégration
Integration configuration is required. Please configure the integration first.,La configuration de l'intégration est requise. Veuillez d'abord configurer l'intégration.
Integration deleted successfully,Intégration supprimée avec succès
Integration does not belong to this company,L'intégration n'appartient pas à cette entreprise
Integration not found,Intégration introuvable
Integration state reset successfully,État de l'intégration réinitialisé avec succès
Integration updated successfully,Intégration mise à jour avec succès
Integrations,Intégrations
Invoice,Facture
Invoice #,Facture nº
JSON,JSON
JSON copied to clipboard,JSON copié dans le presse-papiers
Keep Subscription,Conserver l'abonnement
Key,Clé
Label,Libellé
Label added to {0} documents,Libellé ajouté à {0} documents
Label not found,Libellé introuvable
Labels,Libellés
Last name,Nom
Limited document details,Détails limités du document
Loading company details...,Chargement des informations de l'entreprise...
Loading document details...,Chargement des détails du document...
Loading integration details...,Chargement des détails de l'intégration...
Loading preview...,Chargement de l'aperçu...
Loading verification status...,Chargement du statut de vérification...
Loading verification...,Chargement de la vérification...
Loading...,Chargement...
Main Street 123,Rue Principale 123
Make changes to the company information below,Modifiez les informations de l'entreprise ci-dessous
Make configuration changes to the integration,Modifiez la configuration de l'intégration
Manage your companies\, send and receive Peppol documents\, and monitor your subscription all in one place.,Gérez vos entreprises\, envoyez et recevez des documents Peppol et suivez votre abonnement depuis un seul endroit.
Manage your subscription plan and billing information,Gérez votre forfait et vos informations de facturation
Mandate Status: Not yet validated,Statut du mandat : pas encore validé
Mandate Status: Validated,Statut du mandat : validé
Mandate for electronic invoicing,Mandat de facturation électronique
Manual review in progress,Examen manuel en cours
Mark as read,Marquer comme lu
Mark as unread,Marquer comme non lu
Message,Message
Message Level Response,Réponse au niveau du message
Metadata,Métadonnées
Monthly Price,Prix mensuel
N/A,S/O
Name,Nom
Nested ZIP,ZIP imbriqué
No Active Subscription,Aucun abonnement actif
No attachments found on this document.,Aucune pièce jointe trouvée dans ce document.
No available labels,Aucun libellé disponible
No billing events found,Aucun événement de facturation trouvé
No billing profile set up yet.,Aucun profil de facturation configuré pour le moment.
No embedded content or external reference available for this attachment.,Aucun contenu intégré ni aucune référence externe disponible pour cette pièce jointe.
No labels available,Aucun libellé disponible
No preview available for this document.,Aucun aperçu disponible pour ce document.
No registered representatives could be found for this company in the CBE registry. You can still proceed with identity verification but your request will be manually reviewed.,Aucun représentant enregistré n'a été trouvé pour cette entreprise dans le registre BCE. Vous pouvez tout de même poursuivre la vérification d'identité\, mais votre demande fera l'objet d'un examen manuel.
No state data available,Aucune donnée d'état disponible
No task logs available,Aucun journal de tâches disponible
None,Aucun
Not Found,Introuvable
Not found,Introuvable
Not set,Non défini
Not the right person to complete this?,Vous n'êtes pas la bonne personne pour effectuer cette démarche ?
Open,Ouvert
Open external reference,Ouvrir la référence externe
Open link,Ouvrir le lien
Outgoing,Sortant
Outgoing document,Document sortant
Overage Rate,Tarif de dépassement
Overview of all invoices and billing events,Aperçu de toutes les factures et de tous les événements de facturation
PDF attachment,Pièce jointe PDF
PDF\, drawn up for {0},PDF\, établi pour {0}
Paid,Payé
Payment Mandate,Mandat de paiement
Payment Status,Statut du paiement
Payment Status: {0},Statut du paiement : {0}
Pending,En attente
Peppol Conversation ID,Identifiant de conversation Peppol
Peppol Message ID,Identifiant de message Peppol
Period,Période
Pick a plan,Choisir un forfait
Playground Environment,Environnement de test
Playground created successfully,Environnement de test créé avec succès
Playground name,Nom de l'environnement de test
Please enter a name for the playground,Veuillez saisir un nom pour l'environnement de test
Please wait while we validate your payment mandate.,Veuillez patienter pendant la validation de votre mandat de paiement.
Preparing signature...,Préparation de la signature...
Preview and metadata for this transmitted Peppol document.,Aperçu et métadonnées de ce document Peppol transmis.
Price per Document,Prix par document
Pricing Model,Modèle tarifaire
Process ID,ID processus
Production Environment,Environnement de production
Raw XML,XML brut
Read,Lu
Read At,Lu le
Read Status,Statut de lecture
Read the mandate you are about to sign on behalf of {0}. It authorises us to send\, receive and register electronic invoices for the company.,Lisez le mandat que vous êtes sur le point de signer au nom de {0}. Il nous autorise à envoyer\, recevoir et enregistrer des factures électroniques pour l'entreprise.
Read {0},Lu le {0}
Receive real-time notifications for incoming documents,Recevoir des notifications en temps réel pour les documents entrants
Received Peppol Signal Message,Message de signalisation Peppol reçu
Receiver,Destinataire
Receiver ID,ID destinataire
Recent integration task execution logs,Journaux récents d'exécution des tâches de l'intégration
Recommand Logo,Logo de Recommand
Refund or adjustment document,Document de remboursement ou d'ajustement
Reject,Rejeter
Rejecting...,Rejet...
Related documents,Documents associés
Preview of the billing document and any attachments.,Aperçu du document de facturation et des éventuelles pièces jointes.
Representative Details,Informations sur le représentant
Request failed,Échec de la demande
Reset Integration State,Réinitialiser l'état de l'intégration
Reset State,Réinitialiser l'état
Restart Identity Verification,Recommencer la vérification d'identité
Restart identity verification,Recommencer la vérification d'identité
Restarting...,Redémarrage...
Return to Subscription,Retour à l'abonnement
Save Changes,Enregistrer les modifications
Scheduled,Planifié
Scheduled subscription change,Modification d'abonnement planifiée
Search customers...,Rechercher des clients...
Search documents...,Rechercher des documents...
Select all rows,Sélectionner toutes les lignes
Select country,Sélectionner un pays
Select document type,Sélectionner un type de document
Select row,Sélectionner la ligne
Select your name from the list of registered representatives.,Sélectionnez votre nom dans la liste des représentants enregistrés.
Self Billing Credit Note,Avoir d'autofacturation
Self Billing Invoice,Facture d'autofacturation
Self billing credit note,Avoir d'autofacturation
Self billing invoice,Facture d'autofacturation
Send document,Envoyer un document
Send invoices and credit notes through the Peppol network.,Envoyez des factures et des avoirs via le réseau Peppol.
Sender,Expéditeur
Sender ID,ID expéditeur
Sent and received,Envoyés et reçus
Sent and received documents,Documents envoyés et reçus
Set Up Billing Profile,Configurer le profil de facturation
Set Up Payment Method,Configurer le moyen de paiement
Set up your billing profile to manage subscriptions.,Configurez votre profil de facturation pour gérer les abonnements.
Set up your first company,Configurer votre première entreprise
Sign the mandate,Signer le mandat
Sign the mandate that lets us act for {0} on the Peppol network\, then confirm your identity.,Signez le mandat qui nous permet d'agir pour {0} sur le réseau Peppol\, puis confirmez votre identité.
Sign with identity verification,Signer avec vérification d'identité
Signed by {0}\, for {1},Signé par {0}\, pour {1}
Simulate Verification Result,Simuler le résultat de la vérification
Standard billing document,Document de facturation standard
Start Date,Date de début
Status,Statut
Status unavailable,Statut indisponible
Streamline your document processing workflow,Optimisez votre flux de traitement des documents
Subscription,Abonnement
Subscription cancelled successfully,Abonnement annulé avec succès
Success,Succès
Suppliers,Fournisseurs
Supporting data,Données de référence
Switch to a production team to manage your subscription.,Passez à une équipe de production pour gérer votre abonnement.
Task,Tâche
Task Logs,Journaux des tâches
Team Settings,Paramètres de l'équipe
Technical details & raw data,Détails techniques et données brutes
The identity verification for {0} was not successful.,La vérification d'identité de {0} n'a pas abouti.
The request was forwarded successfully. You can close this page.,La demande a été transférée avec succès. Vous pouvez fermer cette page.
This attachment type cannot be previewed inline\, but you can download it.,Ce type de pièce jointe ne peut pas être prévisualisé ici\, mais vous pouvez le télécharger.
This company needs to be verified before it can be used.,Cette entreprise doit être vérifiée avant de pouvoir être utilisée.
This company needs to be verified. Without verification\, it will soon be deactivated.,Cette entreprise doit être vérifiée. Sans vérification\, elle sera bientôt désactivée.
This document could not be fully parsed. Only technical metadata and raw XML are available.,Ce document n'a pas pu être entièrement analysé. Seuls les métadonnées techniques et le XML brut sont disponibles.
This document could not be fully parsed. Only technical metadata is available.,Ce document n'a pas pu être entièrement analysé. Seules les métadonnées techniques sont disponibles.
This document has validation errors that need attention.,Ce document contient des erreurs de validation qui nécessitent votre attention.
This is a Peppol Test Network playground environment,Ceci est un environnement de test connecté au réseau de test Peppol
This is a playground environment,Ceci est un environnement de test
This is a playground environment. Playground usage is entirely free of charge.,Ceci est un environnement de test. Son utilisation est entièrement gratuite.
This is a playground team\, so identity verification is simulated. Choose whether the verification for {0} should be accepted or rejected.,Ceci est une équipe de test\, la vérification d'identité est donc simulée. Choisissez si la vérification de {0} doit être acceptée ou rejetée.
This is a playground team. You can use it to test the Recommand API without affecting production data or communicating over the Peppol network.,Ceci est une équipe de test. Vous pouvez l'utiliser pour tester l'API Recommand sans affecter les données de production ni communiquer sur le réseau Peppol.
This is a production team. You can use it to send and receive Peppol documents.,Ceci est une équipe de production. Vous pouvez l'utiliser pour envoyer et recevoir des documents Peppol.
This may take some time. You can safely close this page and check back later.,Cette opération peut prendre un certain temps. Vous pouvez fermer cette page et revenir plus tard en toute sécurité.
This playground is connected to the Peppol test network.,Cet environnement de test est connecté au réseau de test Peppol.
This playground is not connected to the Peppol test network.,Cet environnement de test n'est pas connecté au réseau de test Peppol.
This verification for {0} has already reached a final state.,Cette vérification de {0} a déjà atteint un état final.
Total,Total
Total Excl. VAT,Total hors TVA
Total Incl. VAT,Total TVA comprise
Type,Type
Unknown,Inconnu
Unlimited usage - pay per document transmitted (€{0} each),Utilisation illimitée — paiement par document transmis ({0} € chacun)
Unnamed attachment,Pièce jointe sans nom
Unread,Non lu
Update Payment Method,Mettre à jour le moyen de paiement
Update your billing information,Mettez à jour vos informations de facturation pour les factures
Upload or paste a raw UBL XML document that complies with Peppol standards.,Téléversez ou collez un document XML UBL brut conforme aux normes Peppol.
Use Peppol Test Network,Utiliser le réseau de test Peppol
VAT,TVA
VAT Number,Numéro de TVA
Validating Your Payment,Validation de votre paiement
Validation,Validation
Value,Valeur
Verification,Vérification
Verification Already Finalized,Vérification déjà terminée
Verification Already in Progress,Vérification déjà en cours
Verification Could Not Be Completed,La vérification n'a pas pu être effectuée
Verification Rejected,Vérification rejetée
Verification Successful,Vérification réussie
Verification Under Review,Vérification en cours d'examen
Verification data could not be loaded.,Les données de vérification n'ont pas pu être chargées.
Verification in Progress,Vérification en cours
Verification link sent,Lien de vérification envoyé
Verification status could not be loaded.,Le statut de vérification n'a pas pu être chargé.
Verification unavailable,Vérification indisponible
Verified,Vérifié
Verify Company,Vérifier l'entreprise
Verify your identity as a representative of {0} to activate this company on the Peppol network.,Vérifiez votre identité en tant que représentant de {0} afin d'activer cette entreprise sur le réseau Peppol.
Verifying...,Vérification...
View Available Plans,Afficher les forfaits disponibles
View Verification Status,Afficher le statut de vérification
View and manage integration state,Afficher et gérer l'état de l'intégration
View and manage your transmitted Peppol documents.,Afficher et gérer vos documents Peppol transmis.
Volume-based,Selon le volume
We could not complete the verification flow for {0}.,Nous n'avons pas pu terminer le processus de vérification pour {0}.
We could not prepare your mandate. Please try again.,Nous n'avons pas pu préparer votre mandat. Veuillez réessayer.
We offer a variety of plans\, pick one that suits your needs.,Nous proposons plusieurs forfaits\, choisissez celui qui répond à vos besoins.
Webhooks and rules,Webhooks et règles
When checked\, you are able to send and receive documents over the Peppol Test Network\, allowing communication with external Peppol participants. Do not enable this setting if you are not sure what you are doing. This setting cannot be changed after playground creation.,Lorsque cette option est cochée\, vous pouvez envoyer et recevoir des documents sur le réseau de test Peppol et communiquer avec des participants Peppol externes. N'activez pas cette option si vous n'êtes pas certain de ce que vous faites. Ce paramètre ne peut plus être modifié après la création de l'environnement de test.
With integrations\, you can:,Avec les intégrations\, vous pouvez :
XML,XML
XML copied to clipboard,XML copié dans le presse-papiers
XML downloaded,XML téléchargé
Yes\, Cancel Subscription,Oui\, annuler l'abonnement
You sign this mandate with the identity check that follows.,Vous signez ce mandat au moyen de la vérification d'identité qui suit.
You will be redirected to our verification partner to complete the identity check.,Vous serez redirigé vers notre partenaire de vérification afin d'effectuer le contrôle d'identité.
You will be redirected to our verification partner. Your verified identity is the proof of signature that is recorded on the mandate.,Vous serez redirigé vers notre partenaire de vérification. Votre identité vérifiée constitue la preuve de signature enregistrée sur le mandat.
You will lose access to your current plan features at the end of the current month.,Vous perdrez l'accès aux fonctionnalités de votre forfait actuel à la fin du mois en cours.
You will read and sign the mandate for this company before your identity is checked.,Vous lirez et signerez le mandat de cette entreprise avant la vérification de votre identité.
Your billing information,Vos informations de facturation
Your email,Votre e-mail
Your identity could not be verified. Please contact,Votre identité n'a pas pu être vérifiée. Veuillez contacter
Your identity verification for {0} is being processed. This page will update automatically.,La vérification d'identité de {0} est en cours de traitement. Cette page se mettra à jour automatiquement.
Your identity verification for {0} is being reviewed manually. This page will update automatically once the review is complete.,La vérification d'identité de {0} fait l'objet d'un examen manuel. Cette page se mettra à jour automatiquement une fois l'examen terminé.
Your name,Votre nom
Your payment method is set up and ready for billing.,Votre moyen de paiement est configuré et prêt pour la facturation.
Your signature,Votre signature
for assistance.,pour obtenir de l'aide.
incoming,entrant
of Recommand on behalf of {0}.,de Recommand au nom de {0}.
outgoing,sortant
per document,par document
per month,par mois
terms and conditions,conditions générales
{0} Plan,Forfait {0}
{0} documents,{0} documents
{0} documents deleted,{0} documents supprimés
{0} documents marked as read,{0} documents marqués comme lus
{0} documents over limit,{0} documents au-delà de la limite
{0} documents remaining this month,{0} documents restants ce mois-ci
{0} has been successfully verified and is now active on the Peppol network.,{0} a été vérifiée avec succès et est désormais active sur le réseau Peppol.
{0} selected,{0} sélectionné(s)
{0} total,{0} au total
(Required),(Obligatoire)
/month excl. VAT,/mois hors TVA
API Preview,Aperçu de l'API
Add Document Type,Ajouter un type de document
Add Email,Ajouter un e-mail
Add Identifier,Ajouter un identifiant
Add Integration,Ajouter une intégration
Add Invoice Reference,Ajouter une référence de facture
Add Line,Ajouter une ligne
Add Payment Method,Ajouter un moyen de paiement
Add Recipient,Ajouter un destinataire
Add an email address to receive notifications,Ajouter une adresse e-mail pour recevoir des notifications
Add an integration to get started,Ajoutez une intégration pour commencer
Add your first document type to get started,Ajoutez votre premier type de document pour commencer
Add your first identifier to get started,Ajoutez votre premier identifiant pour commencer
Additional Notes,Notes supplémentaires
All companies,Toutes les entreprises
Always (in addition to Peppol),Toujours (en plus de Peppol)
An identifier assigned by the buyer for internal routing purposes.,Un identifiant attribué par l'acheteur à des fins de routage interne.
An unexpected error occurred,Une erreur inattendue s'est produite
Assign labels,Attribuer des libellés
At least one direction (incoming or outgoing) must be selected,Au moins un sens (entrant ou sortant) doit être sélectionné
At least one direction must be selected,Au moins un sens doit être sélectionné
Available Plans,Forfaits disponibles
Back,Retour
Billing Email (Optional),E-mail de facturation (facultatif)
Billing Peppol Address (Optional),Adresse Peppol de facturation (facultative)
Buyer Information (Auto-populated),Informations sur l'acheteur (renseignées automatiquement)
Buyer Information *,Informations sur l'acheteur *
Buyer Reference,Référence de l'acheteur
Buyer details,Informations sur l'acheteur
Cancel Edit,Annuler la modification
Choose file,Choisir un fichier
Choose the perfect plan for your needs,Choisissez le forfait idéal pour vos besoins
Clear,Effacer
Common schemes: 0208 (Belgium)\, 0106 (Netherlands)\, 0225 (France),Schémas courants : 0208 (Belgique)\, 0106 (Pays-Bas)\, 0225 (France)
Companies in {0} are functional\, but some country-specific features or requirements may not be covered yet.,Les entreprises situées en {0} sont prises en charge\, mais certaines fonctionnalités ou exigences propres au pays peuvent ne pas encore l'être.
Company (Optional),Entreprise (facultatif)
Company Document Types,Types de documents de l'entreprise
Company Identifiers,Identifiants de l'entreprise
Company information,Informations sur l'entreprise
Company is not verified,L'entreprise n'est pas vérifiée
Company is verified,L'entreprise est vérifiée
Configure email addresses to receive notifications when documents are sent or received.,Configurez les adresses e-mail qui recevront des notifications lors de l'envoi ou de la réception de documents.
Connect external services to automate document processing and workflows.,Connectez des services externes pour automatiser le traitement des documents et les flux de travail.
Continue,Continuer
Country & VAT,Pays et TVA
Create,Créer
Create Playground,Créer un environnement de test
Create a playground to test integrations without billing requirements\, or switch to an existing team.,Créez un environnement de test pour tester les intégrations sans exigences de facturation\, ou passez à une équipe existante.
Create new playground,Créer un environnement de test
Creating your company...,Création de votre entreprise...
Creating...,Création...
Credit Note Lines *,Lignes de l'avoir *
Credit Note Number *,Numéro de l'avoir *
Credit item,Élément crédité
Credited Invoices,Factures créditées
Current,Actuel
Current Plan,Forfait actuel
Custom Email Content (Optional),Contenu personnalisé de l'e-mail (facultatif)
Customer,Client
Date range must not exceed 1 month (31 days),La plage de dates ne peut pas dépasser un mois (31 jours)
Day,Jour
Default: Dear {buyer name}\, you can find your invoice attached.,Par défaut : Cher/Chère {buyer name}\, vous trouverez votre facture en pièce jointe.
Default: Invoice {number} or Credit Note {number},Par défaut : Facture {number} ou Avoir {number}
Description,Description
Document Type ID,Identifiant du type de document
Document Type ID (optional),Identifiant du type de document (facultatif)
Document Type ID is required,L'identifiant du type de document est requis
Document direction,Sens du document
Document sent successfully!,Document envoyé avec succès !
Document type added successfully,Type de document ajouté avec succès
Document type deleted successfully,Type de document supprimé avec succès
Document type updated successfully,Type de document mis à jour avec succès
Document types define what types of documents your company can receive over the Peppol network. This does not limit the types of documents you can send.,Les types de documents définissent les documents que votre entreprise peut recevoir via le réseau Peppol. Ils ne limitent pas les types de documents que vous pouvez envoyer.
Documents per month,Documents par mois
Done,Terminé
Drag & drop an XML file,Glissez-déposez un fichier XML
Due Date,Date d'échéance
E.g. 0208:[Belgian Enterprise Number],P. ex. 0208:[numéro d'entreprise belge]
Email (Optional),E-mail (facultatif)
Email Address,Adresse e-mail
Email Body (HTML),Corps de l'e-mail (HTML)
Email Recipients,Destinataires de l'e-mail
Email Subject,Objet de l'e-mail
